"ndc9","dose_form_rxcui"
"115234332","316945"
"111181006","316954"
"004091362","721656"
"002241855","1540456"
"368000367","316965"
"548380115","316968"
"518620102","317541"
"671720935","346163"
"816570002","316955"
"796800004","797271"
"228401499","316949"
"000490420","316949"
"620110286","317541"
"505800134","316969"
"003630544","317541"
"822130001","316986"
"000064681","1649574"
"735620114","316995"
"004980011","346165"
"000060112","317541"
"116730210","316945"
"552890151","317541"
"243380031","316942"
"007813327","316949"
"007813269","1649574"
"004068725","316968"
"578960268","316945"
"749340074","797271"
"597460701","316965"
"134110153","317541"
"529590507","316965"
"174780201","7670"
"553050118","797271"
"000670132","91058"
"411670966","7067"
"000236498","317541"
"559100462","316965"
"000780609","316943"
"000093447","1649574"
"724870005","346286"
"411670953","7067"
"353560107","317541"
"541620105","346165"
"009240158","244286"
"681800182","316969"
"722450682","317541"
"736060010","1649574"
"765860105","346286"
"682102000","317541"
"596270003","1649570"
"607600331","316965"
"357812500","346286"
"680160239","316968"
"680010474","10312"
"003630190","316965"
"639410420","316983"
"698420182","316968"
"700000002","317541"
"504580513","317541"
"415200872","316965"
"500903897","316978"
"711040488","1649574"
"000691540","317541"
"560620952","1540453"
"005749855","316995"
"638680065","316968"
"504580810","316945"
"515324622","316982"
"116730292","316968"
"423580800","317007"
"806060001","346165"
"539430984","316982"
"368000250","317541"
"572970875","317541"
"306980021","317541"
"503320054","316959"
"619530004","1649574"
"700000012","7670"
"500902183","317541"
"713352028","316965"
"101440342","317000"
"490350944","316975"
"556700475","317541"
"139850613","316969"
"000236002","317541"
"103370359","316983"
"552890215","316965"
"502420137","1649574"
"000780762","1649574"
"476820333","346165"
"677770251","316959"
"504740300","316943"
"551542340","316965"
"433860431","317541"
"000691520","317541"
"353560255","317541"
"500904384","317541"
"000678132","316968"
"504580706","317541"
"666580102","316965"
"411676152","106332"
"003637005","126542"
"005551057","316965"
"101350624","317541"
"597260836","316965"
"633230393","316949"
"687910104","316968"
"675020224","346285"
"002471971","317541"
"009443033","1649574"
"368000780","316985"
"243850461","316968"
"005970108","316965"
"593530401","721656"
"437490621","316982"
"473350177","721656"
"698420756","316968"
"597790884","316968"
"698420724","316978"
"167140121","317541"
"000095091","1649574"
"003630238","316965"
"115090003","11103"
"730270220","346286"
"774350010","797271"
"680714565","316965"
"768120004","346286"
"507420112","317541"
"001490320","316969"
"720000310","317541"
"684620852","317541"
"001871496","7670"
"513450064","346286"
"231550579","317541"
"525840401","1649574"
"597790742","316965"
"682104160","316965"
"003630098","316965"
"689980194","317541"
"000780683","1649574"
"001730824","316943"
"430630213","317541"
"000854355","1649574"
"816140015","797271"
"661050969","317541"
"718940127","1649574"
"512850539","316965"
"174780060","7670"
"228402667","316949"
"591370550","1649570"
"339920320","7067"
"500902000","317541"
"723840753","317541"
"649800222","91058"
"694230571","106332"
"900260110","797271"
"118222985","316965"
"580050222","316949"
"505800604","316969"
"005970182","317541"
"003630121","316982"
"705183010","317541"
"634020110","2269578"
"002282876","317541"
"637360030","106332"
"003780709","317541"
"500900490","317541"
"722880218","316983"
"662130421","316945"
"525650122","316982"
"652240880","316945"
"003381143","316949"
"412260280","317541"
"174780605","7670"
"675440208","317541"
"698420897","316965"
"704150503","316986"
"005559012","317541"
"559100466","317541"
"704120120","346286"
"680010106","316945"
"664240399","316965"
"509910911","316945"
"529590266","316969"
"490350744","316965"
"001730780","316942"
"586020112","316968"
"532470330","106332"
"003631219","316965"
"009041985","316968"
"707520131","316968"
"591480029","317541"
"636291172","317541"
"411670938","7067"
"001870795","316943"
"250210159","316949"
"649800320","346171"
"003381137","316949"
"680830338","316949"
"470464000","316945"
"000780469","1861409"
"000676290","316969"
"721400636","316985"
"680160201","316965"
"636292528","316985"
"231550795","316965"
"620110311","317541"
"293000140","10312"
"529590057","317541"
"430660016","1649574"
"680711780","346286"
"001490009","316965"
"797397097","317541"
"000372001","317541"
"522440400","316943"
"539430010","316968"
"737460042","316986"
"332610142","317541"
"687888145","10312"
"000436275","316965"
"007667394","91058"
"698420261","316968"
"613870250","316985"
"003630316","126542"
"544360325","317007"
"681800678","316969"
"636293340","316995"
"504190537","1649574"
"000518450","346286"
"680710794","317541"
"698420432","316985"
"698420415","316945"
"540920701","1649574"
"412500859","316965"
"647200239","317541"
"502420087","1649574"
"760140005","1649574"
"638680081","317541"
"698420292","316982"
"505800547","317541"
"003780005","1861409"
"712050009","316982"
"620110337","316945"
"799530100","797271"
"105440621","317541"
"001350235","91058"
"508440264","316965"
"698006502","1649574"
"178561984","316968"
"118226514","1792831"
"529590016","317541"
"717700100","317541"
"531910409","316965"
"699680057","316985"
"493480610","316983"
"552890973","317541"
"433860931","316968"
"541620017","316985"
"801290300","316986"
"540920474","316943"
"680714701","7670"
"693670183","316968"
"370000565","316968"
"368000839","316968"
"001872120","316965"
"621680085","1792831"
"696930512","317541"
"000035194","317541"
"001350148","317541"
"007667750","402499"
"576640606","316945"
"812385100","346165"
"712880144","316949"
"652240350","316943"
"411630197","317541"
"005172310","1649574"
"657570651","317541"
"762430338","346286"
"502420082","1649574"
"588640654","317541"
"008840293","316986"
"718810122","346289"
"635170220","316985"
"699110487","1649574"
"000060072","317541"
"422910148","316945"
"504580645","316965"
"638240941","317690"
"435380540","316982"
"505800579","316969"
"001130186","316968"
"737870108","316986"
"705181388","316949"
"000035195","317541"
"003631523","316968"
"411670978","7067"
"499990754","317541"
"821220003","316986"
"636292174","316943"
"584070025","317541"
"370000079","106332"
"508440005","316968"
"425460010","346285"
"000780904","316964"
"683080219","316965"
"786570006","797271"
"638680413","316945"
"009270187","317541"
"530024630","317541"
"278540299","316968"
"860690108","346165"
"559100748","316965"
"500901392","317541"
"138110707","316945"
"117890252","317541"
"730590001","316965"
"663120580","1649572"
"001730719","721654"
"555050201","316969"
"500902853","1649571"
"768490101","316986"
"500901823","316950"
"702110702","316983"
"005485410","1649574"
"009040004","316969"
"420230215","316949"
"116730969","316965"
"662200815","721656"
"449461014","91058"
"518620896","317541"
"135330810","1649574"
"651620233","316945"
"001130371","317541"
"500905888","316982"
"680160202","316965"
"799030012","7670"
"299780918","316985"
"597790863","317541"
"005970287","316945"
"700000311","316968"
"706770068","317541"
"637360019","2107950"
"000780716","317541"
"009442700","1649574"
"718727233","316949"
"301420306","1540455"
"588640724","316943"
"003630623","316968"
"529590899","316965"
"718810109","346289"
"103560365","316982"
"000854353","1649574"
"125460625","316992"
"115230008","317541"
"461220324","316968"
"102020945","316968"
"605053669","316945"
"770270000","346286"
"681960995","316965"
"490350625","346286"
"372050538","317541"
"000690950","316965"
"683820745","316943"
"353560135","316965"
"009442832","1649574"
"813440002","797271"
"684620725","317541"
"539430323","317541"
"713351186","91058"
"555661002","316943"
"003784542","317541"
"597260670","317541"
"000060740","317541"
"774411002","316986"
"694230149","106332"
"003630372","317541"
